data,PETR4
2017-04-03,12.4282
2017-04-04,12.5807
2017-04-05,12.3435
2017-04-06,12.3096
2017-04-07,12.4536
2017-04-10,12.657
2017-04-11,12.4367
2017-04-12,12.4113
2017-04-13,11.9284
2017-04-17,12.0978
2017-04-18,11.9453
2017-04-19,11.5217
2017-04-20,11.759
2017-04-24,11.886
2017-04-25,12.1487
2017-04-26,11.8606
2017-04-27,11.6319
2017-04-28,11.8352
2017-05-02,11.8521
2017-05-03,11.9962
2017-05-04,11.5217
2017-05-05,12.0385
2017-05-08,11.9284
2017-05-09,11.9792
2017-05-10,12.4791
2017-05-11,12.5553
2017-05-12,13.089
2017-05-15,13.2839
2017-05-16,13.3008
2017-05-17,13.2246
2017-05-18,11.1405
2017-05-19,11.5387
2017-05-22,11.3523
2017-05-23,11.4286
2017-05-24,11.8098
2017-05-25,11.6404
2017-05-26,11.5895
2017-05-29,11.4963
2017-05-30,11.3184
2017-05-31,10.9795
2017-06-01,10.8609
2017-06-02,11.0558
2017-06-05,11.1659
2017-06-06,11.1659
2017-06-07,10.9033
2017-06-08,10.8779
2017-06-09,10.8864
2017-06-12,10.9287
2017-06-13,10.9626
2017-06-14,10.6915
2017-06-16,10.4035
2017-06-19,10.4119
2017-06-20,10.0476
2017-06-21,9.8613
2017-06-22,10.2001
2017-06-23,10.1069
2017-06-26,10.395
2017-06-27,10.3442
2017-06-28,10.234
2017-06-29,10.3187
2017-06-30,10.4797
2017-07-03,10.4712
2017-07-04,10.5305
2017-07-05,10.3442
2017-07-06,10.3103
2017-07-07,10.1069
2017-07-10,10.1493
2017-07-11,10.4458
2017-07-12,10.9626
2017-07-13,10.9033
2017-07-14,11.0558
2017-07-17,10.9202
2017-07-18,10.9626
2017-07-19,11.2083
2017-07-20,11.0982
2017-07-21,10.7508
2017-07-24,10.9118
2017-07-25,11.1998
2017-07-26,10.9965
2017-07-27,11.0134
2017-07-28,11.1236
2017-07-31,11.2591
2017-08-01,11.1151
2017-08-02,11.4455
2017-08-03,11.2761
2017-08-04,11.3523
2017-08-07,11.4794
2017-08-08,11.4286
2017-08-09,11.454
2017-08-10,11.1744
2017-08-11,10.9711
2017-08-14,11.0812
2017-08-15,11.1405
2017-08-16,11.1236
2017-08-17,11.0558
2017-08-18,11.5217
2017-08-21,11.3015
2017-08-22,11.6827
2017-08-23,11.6573
2017-08-24,11.6912
2017-08-25,11.759
2017-08-28,11.7505
2017-08-29,11.7335
2017-08-30,11.3947
2017-08-31,11.5641
2017-09-01,11.8776
2017-09-04,12.0046
2017-09-05,12.208
2017-09-06,12.7247
2017-09-08,12.4621
2017-09-11,12.6993
2017-09-12,12.5977
2017-09-13,12.7332
2017-09-14,12.7417
2017-09-15,12.7417
2017-09-18,12.7417
2017-09-19,12.8264
2017-09-20,13.4449
2017-09-21,13.2754
2017-09-22,13.2924
2017-09-25,13.4194
2017-09-26,13.1822
2017-09-27,12.9704
2017-09-28,12.9958
2017-09-29,12.962
2017-10-02,13.0467
2017-10-03,13.538
2017-10-04,13.2669
2017-10-05,13.4703
2017-10-06,13.2924
2017-10-09,13.4618
2017-10-10,13.716
2017-10-11,13.6228
2017-10-13,13.6228
2017-10-16,13.6567
2017-10-18,13.6905
2017-10-19,13.6821
2017-10-20,13.7414
2017-10-23,13.7244
2017-10-24,13.9871
2017-10-25,14.165
2017-10-26,14.1734
2017-10-27,14.4276
2017-10-30,14.2158
2017-10-31,14.2073
2017-11-01,14.3175
2017-11-03,14.3513
2017-11-06,14.7665
